1,Warszawa,powiat,Warszawa,mazowieckie,1795569,517.2,km²,21.00672,52.23196
2,Kraków,powiat,Kraków,małopolskie,782137,326.9,km²,19.93686,50.06195
3,Łódź,powiat,Łódź,łódzkie,664071,293.3,km²,19.45699,51.76873
4,Wrocław,powiat,Wrocław,dolnośląskie,642687,292.8,km²,17.03267,51.10898
5,Poznań,powiat,Poznań,wielkopolskie,529410,261.9,km²,16.91973,52.40066
6,Gdańsk,powiat,Gdańsk,pomorskie,470621,262,km²,18.61298,54.37069
7,Szczecin,powiat,Szczecin,zachodniopomorskie,395513,300.6,km²,14.55096,53.43018
8,Bydgoszcz,powiat,Bydgoszcz,kujawsko-pomorskie,339053,176,km²,18.00025,53.12196
9,Lublin,powiat,Lublin,lubelskie,336339,147.5,km²,22.5701,51.25056
10,Białystok,powiat,Białystok,podlaskie,295683,102.1,km²,23.14705,53.12751
11,Katowice,powiat,Katowice,śląskie,286960,164.6,km²,19.02159,50.2599
12,Gdynia,powiat,Gdynia,pomorskie,243918,135.1,km²,18.54027,54.5165
13,Częstochowa,powiat,Częstochowa,śląskie,214342,159.7,km²,19.11321,50.81205
14,Radom,powiat,Radom,mazowieckie,206946,111.8,km²,21.15415,51.40226
15,Toruń,powiat,Toruń,kujawsko-pomorskie,196935,115.7,km²,18.60481,53.01027
16,Sosnowiec,powiat,Sosnowiec,śląskie,194818,91.1,km²,19.13429,50.27808
17,Kielce,powiat,Kielce,świętokrzyskie,191448,109.7,km²,20.60992,50.85403
18,Rzeszów,powiat,Rzeszów,podkarpackie,198609,129,km²,22.00472,50.03745
19,Gliwice,powiat,Gliwice,śląskie,175102,133.9,km²,18.66573,50.29411
20,Zabrze,powiat,Zabrze,śląskie,168946,80.4,km²,18.78637,50.30862
21,Olsztyn,powiat,Olsztyn,warmińsko-mazurskie,169793,88.3,km²,20.47778,53.77672
22,Bielsko-Biała,powiat,Bielsko-Biała,śląskie,168319,124.5,km²,19.04489,49.82212
23,Bytom,powiat,Bytom,śląskie,161139,69.4,km²,18.87153,50.36574
24,Zielona Góra,powiat,Zielona Góra,lubuskie,140403,278.3,km²,15.50504,51.93838
25,Rybnik,powiat,Rybnik,śląskie,135994,148.4,km²,18.54199,50.09558
26,Ruda Śląska,powiat,Ruda Śląska,śląskie,135008,77.7,km²,18.86439,50.27035
27,Opole,powiat,Opole,opolskie,127077,148.9,km²,17.92364,50.66682
28,Tychy,powiat,Tychy,śląskie,125781,81.8,km²,18.99659,50.1144
29,Gorzów Wielkopolski,powiat,Gorzów Wielkopolski,lubuskie,120087,85.7,km²,15.24005,52.73099
30,Dąbrowa Górnicza,powiat,Dąbrowa Górnicza,śląskie,116971,188.7,km²,19.20789,50.33087
31,Elbląg,powiat,Elbląg,warmińsko-mazurskie,117390,79.8,km²,19.40446,54.15587
32,Płock,powiat,Płock,mazowieckie,116962,88,km²,19.70086,52.54645
33,Wałbrzych,powiat,Wałbrzych,dolnośląskie,108222,84.7,km²,16.28254,50.76591
34,Włocławek,powiat,Włocławek,kujawsko-pomorskie,106928,85.1,km²,19.0723,52.66017
35,Tarnów,powiat,Tarnów,małopolskie,105922,72.4,km²,20.96406,50.02599
36,Chorzów,powiat,Chorzów,śląskie,105628,33.2,km²,18.97044,50.28856
37,Koszalin,powiat,Koszalin,zachodniopomorskie,104994,98.3,km²,16.17707,54.19092
38,Kalisz,powiat,Kalisz,wielkopolskie,97905,69.4,km²,18.07959,51.74737
39,Legnica,powiat,Legnica,dolnośląskie,97300,56.3,km²,16.17468,51.20477
40,Grudziądz,powiat,Grudziądz,kujawsko-pomorskie,92552,57.8,km²,18.76189,53.47251
41,Jaworzno,powiat,Jaworzno,śląskie,89350,152.6,km²,19.27216,50.20344
42,Słupsk,powiat,Słupsk,pomorskie,88835,43.2,km²,17.02095,54.46358
43,Jastrzębie-Zdrój,powiat,Jastrzębie-Zdrój,śląskie,86632,85.3,km²,18.60236,49.95191
44,Nowy Sącz,powiat,Nowy Sącz,małopolskie,83116,57.6,km²,20.71494,49.6103
45,Jelenia Góra,powiat,Jelenia Góra,dolnośląskie,77366,109.2,km²,15.73443,50.9031
46,Siedlce,powiat,Siedlce,mazowieckie,77354,31.9,km²,22.28125,52.16159
47,Mysłowice,powiat,Mysłowice,śląskie,74085,65.6,km²,19.13217,50.20962
48,Konin,powiat,Konin,wielkopolskie,71427,82.3,km²,18.25211,52.23019
49,Piotrków Trybunalski,powiat,Piotrków Trybunalski,łódzkie,71252,67.2,km²,19.68868,51.41285
50,Piła,powiat,pilski,wielkopolskie,71846,102.7,km²,16.73803,53.15113
51,Inowrocław,powiat,inowrocławski,kujawsko-pomorskie,70713,30.4,km²,18.24631,52.78146
52,Lubin,powiat,lubiński,dolnośląskie,70815,40.8,km²,16.19934,51.39968
53,Ostrów Wielkopolski,powiat,ostrowski,wielkopolskie,70982,41.9,km²,17.80230,51.64972
54,Suwałki,powiat,Suwałki,podlaskie,69206,65.5,km²,22.93188,54.10271
55,Ostrowiec Świętokrzyski,powiat,ostrowiecki,świętokrzyskie,66258,46.4,km²,21.41151,50.95021
56,Gniezno,powiat,gnieźnieński,wielkopolskie,66769,40.6,km²,17.59815,52.52465
57,Stargard,powiat,stargardzki,zachodniopomorskie,67293,48.1,km²,15.03165,53.30898
58,Głogów,powiat,głogowski,dolnośląskie,65400,35.1,km²,16.0614,51.67019
59,Siemianowice Śląskie,powiat,Siemianowice Śląskie,śląskie,65684,25.5,km²,19.01779,50.31285
60,Pabianice,powiat,pabianicki,łódzkie,63023,33,km²,19.35925,51.66623
61,Leszno,powiat,Leszno,wielkopolskie,62200,31.9,km²,16.58042,51.84361
62,Zamość,powiat,Zamość,lubelskie,62021,30.3,km²,23.25959,50.72127
63,Łomża,powiat,Łomża,podlaskie,62019,32.7,km²,22.05218,53.18243
64,Chełm,powiat,Chełm,lubelskie,60231,35.3,km²,23.49394,51.13559
65,Tomaszów Mazowiecki,powiat,tomaszowski,łódzkie,60529,41.3,km²,20.03376,51.51949
66,Żory,powiat,Żory,śląskie,62848,64.6,km²,18.68061,50.03889
67,Ełk,powiat,ełcki,warmińsko-mazurskie,61677,21.1,km²,22.36192,53.82396
68,Pruszków,powiat,pruszkowski,mazowieckie,62750,19.2,km²,20.80298,52.17196
69,Tarnowskie Góry,powiat,tarnogórski,śląskie,61842,83.9,km²,18.85548,50.44452
70,Przemyśl,powiat,Przemyśl,podkarpackie,58721,46.2,km²,22.78851,49.78356
71,Stalowa Wola,powiat,stalowowolski,podkarpackie,58545,82.5,km²,22.06441,50.56531
72,Kędzierzyn-Koźle,powiat,kędzierzyńsko-kozielski,opolskie,58899,123.7,km²,18.21096,50.34488
73,Mielec,powiat,mielecki,podkarpackie,59509,46.9,km²,21.46313,50.28025
74,Tczew,powiat,tczewski,pomorskie,59111,22.4,km²,18.77794,54.09088
75,Bełchatów,powiat,bełchatowski,łódzkie,55583,34.6,km²,19.37692,51.3547
76,Biała Podlaska,powiat,Biała Podlaska,lubelskie,56498,49.4,km²,23.14974,52.0298
77,Świdnica,powiat,świdnicki,dolnośląskie,55413,21.8,km²,16.48705,50.84248
78,Będzin,powiat,będziński,śląskie,55183,37.4,km²,19.1173,50.33563
79,Zgierz,powiat,zgierski,łódzkie,54974,42.3,km²,19.39063,51.85552
80,Piekary Śląskie,powiat,Piekary Śląskie,śląskie,54226,40,km²,18.93794,50.37578
81,Racibórz,powiat,raciborski,śląskie,53632,75,km²,18.21515,50.09053
82,Legionowo,powiat,legionowski,mazowieckie,53205,13.5,km²,20.93315,52.40484
83,Ostrołęka,powiat,Ostrołęka,mazowieckie,51012,33.5,km²,21.57487,53.07803
84,Świętochłowice,powiat,Świętochłowice,śląskie,48577,13.3,km²,18.90747,50.29894
85,Wejherowo,powiat,wejherowski,pomorskie,48462,27,km²,18.23179,54.60607
86,Zawiercie,powiat,zawierciański,śląskie,48108,85.3,km²,19.43339,50.48442
87,Rumia,powiat,wejherowski,pomorskie,49936,30.1,km²,18.38462,54.57008
88,Starachowice,powiat,starachowicki,świętokrzyskie,46879,31.8,km²,21.08204,51.03846
89,Skierniewice,powiat,Skierniewice,łódzkie,47031,34.6,km²,20.14487,51.95805
90,Wodzisław Śląski,powiat,wodzisławski,śląskie,47073,49.5,km²,18.44806,50.00238
91,Piaseczno,powiat,piaseczyński,mazowieckie,48688,16.2,km²,21.02709,52.07474
92,Starogard Gdański,powiat,starogardzki,pomorskie,46768,25.3,km²,18.52666,53.96545
93,Puławy,powiat,puławski,lubelskie,46304,50.5,km²,21.9853,51.42626
94,Tarnobrzeg,powiat,Tarnobrzeg,podkarpackie,45827,85.4,km²,21.69643,50.59242
95,Krosno,powiat,Krosno,podkarpackie,45463,44.7,km²,21.75348,49.68898
96,Kołobrzeg,powiat,kołobrzeski,zachodniopomorskie,45713,25.7,km²,15.57655,54.17607
97,Radomsko,powiat,radomszczański,łódzkie,44700,51.4,km²,19.44985,51.07106
98,Dębica,powiat,dębicki,podkarpackie,44692,33.8,km²,21.41276,50.04612
99,Skarżysko-Kamienna,powiat,skarżyski,świętokrzyskie,43422,64.4,km²,20.87701,51.12297
100,Otwock,powiat,otwocki,mazowieckie,44078,47.3,km²,21.29346,52.11617
101,Ciechanów,powiat,ciechanowski,mazowieckie,43495,32.8,km²,20.60625,52.8712
102,Kutno,powiat,kutnowski,łódzkie,42704,33.6,km²,19.3876,52.222
103,Nysa,powiat,nyski,opolskie,42740,27.5,km²,17.33247,50.4738
104,Sieradz,powiat,sieradzki,łódzkie,40891,51.2,km²,18.7399,51.60175
105,Zduńska Wola,powiat,zduńskowolski,łódzkie,40730,24.6,km²,18.95011,51.59491
106,Świnoujście,powiat,Świnoujście,zachodniopomorskie,40467,202.1,km²,14.25107,53.90975
107,Mikołów,powiat,mikołowski,śląskie,41047,79.2,km²,18.85385,50.196
108,Mińsk Mazowiecki,powiat,miński,mazowieckie,40754,13.2,km²,21.56946,52.1796
109,Szczecinek,powiat,szczecinecki,zachodniopomorskie,39474,48.5,km²,16.70713,53.70234
110,Żyrardów,powiat,żyrardowski,mazowieckie,39138,14.4,km²,20.44464,52.05553
